Homer_Motif_Name	Edited_Motif_name	Ensembl_Gene_Id
ZNF317(Zf)/HEK293-ZNF317.GFP-ChIP-Seq(GSE58341)/Homer	ZNF317	ENSG00000130803
HIF2a(bHLH)/785_O-HIF2a-ChIP-Seq(GSE34871)/Homer	HIF2a	ENSG00000116016
Srebp1a(bHLH)/HepG2-Srebp1a-ChIP-Seq(GSE31477)/Homer	Srebp1a	ENSG00000072310
Lhx1(Homeobox)/EmbryoCarcinoma-Lhx1-ChIP-Seq(GSE70957)/Homer	Lhx1	ENSG00000273706
LRF(Zf)/Erythroblasts-ZBTB7A-ChIP-Seq(GSE74977)/Homer	ZBTB7A	ENSG00000178951
Mef2a(MADS)/HL1-Mef2a.biotin-ChIP-Seq(GSE21529)/Homer	Mef2a	ENSG00000068305
Esrrb(NR)/mES-Esrrb-ChIP-Seq(GSE11431)/Homer	Esrrb	ENSG00000119715
HIF-1a(bHLH)/MCF7-HIF1a-ChIP-Seq(GSE28352)/Homer	HIF-1a	ENSG00000100644
Tgif1(Homeobox)/mES-Tgif1-ChIP-Seq(GSE55404)/Homer	Tgif1	ENSG00000177426
Mef2b(MADS)/HEK293-Mef2b.V5-ChIP-Seq(GSE67450)/Homer	Mef2b	ENSG00000213999
Nr5a2(NR)/Pancreas-LRH1-ChIP-Seq(GSE34295)/Homer	Nr5a2	ENSG00000116833
TCFL2(HMG)/K562-TCF7L2-ChIP-Seq(GSE29196)/Homer	TCFL2	ENSG00000148737
ZSCAN22(Zf)/HEK293-ZSCAN22.GFP-ChIP-Seq(GSE58341)/Homer	ZSCAN22	ENSG00000182318
Tcf4(HMG)/Hct116-Tcf4-ChIP-Seq(SRA012054)/Homer	Tcf4	ENSG00000196628
"NFAT:AP1(RHD,bZIP)/Jurkat-NFATC1-ChIP-Seq(Jolma_et_al.)/Homer"	NFATC1	ENSG00000131196
COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)/Homer	NRF2F2	ENSG00000185551
ZNF519(Zf)/HEK293-ZNF519.GFP-ChIP-Seq(GSE58341)/Homer	ZNF519	ENSG00000175322
Mef2c(MADS)/GM12878-Mef2c-ChIP-Seq(GSE32465)/Homer	Mef2c	ENSG00000081189
Phox2a(Homeobox)/Neuron-Phox2a-ChIP-Seq(GSE31456)/Homer	Phox2a	ENSG00000165462
KLF14(Zf)/HEK293-KLF14.GFP-ChIP-Seq(GSE58341)/Homer	KLF14	ENSG00000266265
CTCF-SatelliteElement(Zf?)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	CTCF-SatelliteElement	ENSG00000102974
"Brn1(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)/Homer"	Brn1	ENSG00000198914
KLF10(Zf)/HEK293-KLF10.GFP-ChIP-Seq(GSE58341)/Homer	KLF10	ENSG00000155090
PRDM1(Zf)/Hela-PRDM1-ChIP-Seq(GSE31477)/Homer	PRDM1	ENSG00000057657
NFY(CCAAT)/Promoter/Homer	NFYA	ENSG00000001167
Lhx3(Homeobox)/Neuron-Lhx3-ChIP-Seq(GSE31456)/Homer	Lhx3	ENSG00000107187
"Brn2(POU,Homeobox)/NPC-Brn2-ChIP-Seq(GSE35496)/Homer"	Brn2	ENSG00000184486
STAT6(Stat)/CD4-Stat6-ChIP-Seq(GSE22104)/Homer	STAT6	ENSG00000166888
"Pax7(Paired,Homeobox),long/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer"	Pax7	ENSG00000009709
SpiB(ETS)/OCILY3-SPIB-ChIP-Seq(GSE56857)/Homer	SpiB	ENSG00000269404
TEAD(TEA)/Fibroblast-PU.1-ChIP-Seq(Unpublished)/Homer	PU.1	ENSG00000066336
Usf2(bHLH)/C2C12-Usf2-ChIP-Seq(GSE36030)/Homer	Usf2	ENSG00000105698
AMYB(HTH)/Testes-AMYB-ChIP-Seq(GSE44588)/Homer	AMYB	ENSG00000185697
Sox10(HMG)/SciaticNerve-Sox3-ChIP-Seq(GSE35132)/Homer	Sox10	ENSG00000100146
p63(p53)/Keratinocyte-p63-ChIP-Seq(GSE17611)/Homer	p63	ENSG00000073282
"Oct4:Sox17(POU,Homeobox,HMG)/F9-Sox17-ChIP-Seq(GSE44553)/Homer"	Sox17	ENSG00000164736
SF1(NR)/H295R-Nr5a1-ChIP-Seq(GSE44220)/Homer	SF1	ENSG00000168066
ISRE(IRF)/ThioMac-LPS-Expression(GSE23622)/Homer	IRF3	NOT_GENE
"OCT:OCT(POU,Homeobox,IR1)/NPC-Brn2-ChIP-Seq(GSE35496)/Homer"	Brn2	ENSG00000184486
STAT6(Stat)/Macrophage-Stat6-ChIP-Seq(GSE38377)/Homer	STAT6	ENSG00000166888
Pit1+1bp(Homeobox)/GCrat-Pit1-ChIP-Seq(GSE58009)/Homer	Pit1	ENSG00000064835
Maz(Zf)/HepG2-Maz-ChIP-Seq(GSE31477)/Homer	Maz	ENSG00000103495
"LXRE(NR),DR4/RAW-LXRb.biotin-ChIP-Seq(GSE21512)/Homer"	LXRb	ENSG00000131408
MafA(bZIP)/Islet-MafA-ChIP-Seq(GSE30298)/Homer	MafA	ENSG00000182759
ZNF415(Zf)/HEK293-ZNF415.GFP-ChIP-Seq(GSE58341)/Homer	ZNF415	ENSG00000170954
TEAD2(TEA)/Py2T-Tead2-ChIP-Seq(GSE55709)/Homer	TEAD2	ENSG00000074219
"Reverb(NR),DR2/RAW-Reverba.biotin-ChIP-Seq(GSE45914)/Homer"	Reverb	ENSG00000126368
Pit1(Homeobox)/GCrat-Pit1-ChIP-Seq(GSE58009)/Homer	Pit1	ENSG00000064835
Nr5a2(NR)/mES-Nr5a2-ChIP-Seq(GSE19019)/Homer	Nr5a2	ENSG00000116833
ZNF382(Zf)/HEK293-ZNF382.GFP-ChIP-Seq(GSE58341)/Homer	ZNF382	ENSG00000161298
ZFP3(Zf)/HEK293-ZFP3.GFP-ChIP-Seq(GSE58341)/Homer	ZFP3	ENSG00000180787
RORgt(NR)/EL4-RORgt.Flag-ChIP-Seq(GSE56019)/Homer	RORgt	ENSG00000143365
CLOCK(bHLH)/Liver-Clock-ChIP-Seq(GSE39860)/Homer	CLOCK	ENSG00000134852
Isl1(Homeobox)/Neuron-Isl1-ChIP-Seq(GSE31456)/Homer	Isl1	ENSG00000016082
"GRE(NR),IR3/A549-GR-ChIP-Seq(GSE32465)/Homer"	GR	ENSG00000113580
HLF(bZIP)/HSC-HLF.Flag-ChIP-Seq(GSE69817)/Homer	HLF	ENSG00000108924
Six1(Homeobox)/Myoblast-Six1-ChIP-Chip(GSE20150)/Homer	Six1	ENSG00000126778
Mef2d(MADS)/Retina-Mef2d-ChIP-Seq(GSE61391)/Homer	Mef2d	ENSG00000116604
Six2(Homeobox)/NephronProgenitor-Six2-ChIP-Seq(GSE39837)/Homer	Six2	ENSG00000170577
"GATA3(Zf),DR8/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer"	GATA3	ENSG00000107485
"OCT:OCT(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)/Homer"	Brn1	ENSG00000198914
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	AR	ENSG00000169083
IRF2(IRF)/Erythroblas-IRF2-ChIP-Seq(GSE36985)/Homer	IRF2	ENSG00000168310
"ETS:RUNX(ETS,Runt)/Jurkat-RUNX1-ChIP-Seq(GSE17954)/Homer"	RUNX1	ENSG00000159216
Hand2(bHLH)/Mesoderm-Hand2-ChIP-Seq(GSE61475)/Homer	Hand2	ENSG00000164107
ZNF136(Zf)/HEK293-ZNF136.GFP-ChIP-Seq(GSE58341)/Homer	ZNF136	ENSG00000196646
Tbx5(T-box)/HL1-Tbx5.biotin-ChIP-Seq(GSE21529)/Homer	Tbx5	ENSG00000089225
STAT1(Stat)/HelaS3-STAT1-ChIP-Seq(GSE12782)/Homer	STAT1	ENSG00000115415
"TR4(NR),DR1/Hela-TR4-ChIP-Seq(GSE24685)/Homer"	TR4	ENSG00000177463
"ERE(NR),IR3/MCF7-ERa-ChIP-Seq(Unpublished)/Homer"	ER	ENSG00000091831
Tbx20(T-box)/Heart-Tbx20-ChIP-Seq(GSE29636)/Homer	Tbx20	ENSG00000164532
"PAX5(Paired,Homeobox)/GM12878-PAX5-ChIP-Seq(GSE32465)/Homer"	PAX5	ENSG00000196092
DUX4(Homeobox)/Myoblasts-DUX4.V5-ChIP-Seq(GSE75791)/Homer	DUX4	ENSG00000260596
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	CEBP	ENSG00000172216
ZNF264(Zf)/HEK293-ZNF264.GFP-ChIP-Seq(GSE58341)/Homer	ZNF264	ENSG00000083844
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	CEBP	ENSG00000172216
IRF1(IRF)/PBMC-IRF1-ChIP-Seq(GSE43036)/Homer	IRF1	ENSG00000125347
DMRT1(DM)/Testis-DMRT1-ChIP-Seq(GSE64892)/Homer	DMRT1	ENSG00000137090
Sox9(HMG)/Limb-SOX9-ChIP-Seq(GSE73225)/Homer	Sox9	ENSG00000125398
"GFY-Staf(?,Zf)/Promoter/Homer"	GFY	ENSG00000261949
E-box(bHLH)/Promoter/Homer	E-box	NOT_GENE
KLF5(Zf)/LoVo-KLF5-ChIP-Seq(GSE49402)/Homer	KLF5	ENSG00000102554
"Oct6(POU,Homeobox)/NPC-Pou3f1-ChIP-Seq(GSE35496)/Homer"	Oct.6	ENSG00000185668
Otx2(Homeobox)/EpiLC-Otx2-ChIP-Seq(GSE56098)/Homer	Otx2	ENSG00000165588
HOXD13(Homeobox)/Chicken-Hoxd13-ChIP-Seq(GSE38910)/Homer	HOXD13	ENSG00000128714
HOXB13(Homeobox)/ProstateTumor-HOXB13-ChIP-Seq(GSE56288)/Homer	HOXB13	ENSG00000159184
Ets1-distal(ETS)/CD4+-PolII-ChIP-Seq(Barski_et_al.)/Homer	Ets1	ENSG00000134954
GFX(?)/Promoter/Homer	GFX	NOT_GENE
Klf4(Zf)/mES-Klf4-ChIP-Seq(GSE11431)/Homer	Klf4	ENSG00000136826
"Oct4(POU,Homeobox)/mES-Oct4-ChIP-Seq(GSE11431)/Homer"	Oct.4	ENSG00000204531
"RAR:RXR(NR),DR5/ES-RAR-ChIP-Seq(GSE56893)/Homer"	RAR	ENSG00000131759
Tcfcp2l1(CP2)/mES-Tcfcp2l1-ChIP-Seq(GSE11431)/Homer	Tcfcp2l1	ENSG00000115112
Nkx6.1(Homeobox)/Islet-Nkx6.1-ChIP-Seq(GSE40975)/Homer	Nkx6.1	ENSG00000163623
PU.1(ETS)/ThioMac-PU.1-ChIP-Seq(GSE21512)/Homer	PU.1	ENSG00000066336
Zfp809(Zf)/ES-Zfp809-ChIP-Seq(GSE70799)/Homer	Zfp809	NOT_GENE
NFAT(RHD)/Jurkat-NFATC1-ChIP-Seq(Jolma_et_al.)/Homer	NFATC1	ENSG00000131196
Sp5(Zf)/mES-Sp5.Flag-ChIP-Seq(GSE72989)/Homer	Sp5	ENSG00000204335
JunD(bZIP)/K562-JunD-ChIP-Seq/Homer	JunD	ENSG00000130522
FOXK2(Forkhead)/U2OS-FOXK2-ChIP-Seq(E-MTAB-2204)/Homer	FOXK2	ENSG00000141568
"Oct2(POU,Homeobox)/Bcell-Oct2-ChIP-Seq(GSE21512)/Homer"	Oct.2	ENSG00000028277
p53(p53)/mES-cMyc-ChIP-Seq(GSE11431)/Homer	p53(p53)	ENSG00000141510
Gfi1b(Zf)/HPC7-Gfi1b-ChIP-Seq(GSE22178)/Homer	Gfi1b	ENSG00000165702
Klf9(Zf)/GBM-Klf9-ChIP-Seq(GSE62211)/Homer	Klf9	ENSG00000119138
Smad3(MAD)/NPC-Smad3-ChIP-Seq(GSE36673)/Homer	Smad3	ENSG00000166949
DMRT6(DM)/Testis-DMRT6-ChIP-Seq(GSE60440)/Homer	DMRT6	NOT_GENE
Cux2(Homeobox)/Liver-Cux2-ChIP-Seq(GSE35985)/Homer	Cux2	ENSG00000111249
"Pax7(Paired,Homeobox)/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer"	Pax7	ENSG00000009709
Foxo3(Forkhead)/U2OS-Foxo3-ChIP-Seq(E-MTAB-2701)/Homer	Foxo3	ENSG00000118689
GSC(Homeobox)/FrogEmbryos-GSC-ChIP-Seq(DRA000576)/Homer	GSC	ENSG00000133937
CRX(Homeobox)/Retina-Crx-ChIP-Seq(GSE20012)/Homer	CRX	ENSG00000105392
USF1(bHLH)/GM12878-Usf1-ChIP-Seq(GSE32465)/Homer	USF1	ENSG00000158773
FoxL2(Forkhead)/Ovary-FoxL2-ChIP-Seq(GSE60858)/Homer	FoxL2	ENSG00000183770
PRDM14(Zf)/H1-PRDM14-ChIP-Seq(GSE22767)/Homer	PRDM14	ENSG00000147596
NFkB-p65-Rel(RHD)/ThioMac-LPS-Expression(GSE23622)/Homer	NFkB-p65-Rel	ENSG00000173039
"PPARE(NR),DR1/3T3L1-Pparg-ChIP-Seq(GSE13511)/Homer"	PPARG	ENSG00000132170
Foxf1(Forkhead)/Lung-Foxf1-ChIP-Seq(GSE77951)/Homer	Foxf1	ENSG00000103241
Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)/Homer	Egr2	ENSG00000122877
RARg(NR)/ES-RARg-ChIP-Seq(GSE30538)/Homer	RARg	ENSG00000172819
Zfp281(Zf)/ES-Zfp281-ChIP-Seq(GSE81042)/Homer	Zfp281	ENSG00000162702
CRE(bZIP)/Promoter/Homer	CRE	NOT_GENE
YY1(Zf)/Promoter/Homer	YY1	ENSG00000100811
Sp1(Zf)/Promoter/Homer	Sp1	ENSG00000185591
"PAX5(Paired,Homeobox),condensed/GM12878-PAX5-ChIP-Seq(GSE32465)/Homer"	PAX5	ENSG00000196092
E2F(E2F)/Hela-CellCycle-Expression/Homer	E2F	NOT_GENE
Bcl6(Zf)/Liver-Bcl6-ChIP-Seq(GSE31578)/Homer	Bcl6	ENSG00000113916
IRF3(IRF)/BMDM-Irf3-ChIP-Seq(GSE67343)/Homer	IRF3	ENSG00000126456
ELF5(ETS)/T47D-ELF5-ChIP-Seq(GSE30407)/Homer	ELF5	ENSG00000135374
HIF-1b(HLH)/T47D-HIF1b-ChIP-Seq(GSE59937)/Homer	HIF-1b	ENSG00000143437
bHLHE40(bHLH)/HepG2-BHLHE40-ChIP-Seq(GSE31477)/Homer	bHLHE40	ENSG00000134107
TEAD4(TEA)/Tropoblast-Tead4-ChIP-Seq(GSE37350)/Homer	TEAD4	ENSG00000197905
HNF6(Homeobox)/Liver-Hnf6-ChIP-Seq(ERP000394)/Homer	HNF6	ENSG00000169856
"bZIP:IRF(bZIP,IRF)/Th17-BatF-ChIP-Seq(GSE39756)/Homer"	BATF	ENSG00000156127
"HNF4a(NR),DR1/HepG2-HNF4a-ChIP-Seq(GSE25021)/Homer"	HNF4a	ENSG00000101076
BMYB(HTH)/Hela-BMYB-ChIP-Seq(GSE27030)/Homer	BMYB	ENSG00000101057
"RAR:RXR(NR),DR5/ES-RAR-ChIP-Seq(GSE56893)/Homer"	RAR	ENSG00000131759
BMAL1(bHLH)/Liver-Bmal1-ChIP-Seq(GSE39860)/Homer	BMAL1	ENSG00000133794
EKLF(Zf)/Erythrocyte-Klf1-ChIP-Seq(GSE20478)/Homer	EKLF	ENSG00000105610
FOXK1(Forkhead)/HEK293-FOXK1-ChIP-Seq(GSE51673)/Homer	FOXK1	ENSG00000164916
FOXP1(Forkhead)/H9-FOXP1-ChIP-Seq(GSE31006)/Homer	FOXP1	ENSG00000114861
"GATA:SCL(Zf,bHLH)/Ter119-SCL-ChIP-Seq(GSE18720)/Homer"	SCL	ENSG00000162367
KLF6(Zf)/PDAC-KLF6-ChIP-Seq(GSE64557)/Homer	KLF6	ENSG00000067082
PGR(NR)/EndoStromal-PGR-ChIP-Seq(GSE69539)/Homer	PGR	ENSG00000082175
NPAS(bHLH)/Liver-NPAS-ChIP-Seq(GSE39860)/Homer	NPAS2	ENSG00000170485
ETS(ETS)/Promoter/Homer	ETS	NOT_GENE
ZNF467(Zf)/HEK293-ZNF467.GFP-ChIP-Seq(GSE58341)/Homer	ZNF467	ENSG00000181444
KLF3(Zf)/MEF-Klf3-ChIP-Seq(GSE44748)/Homer	KLF3	ENSG00000109787
"GATA3(Zf),DR4/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer"	GATA3	ENSG00000107485
Rfx1(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	Rfx1	NOT_GENE
MYB(HTH)/ERMYB-Myb-ChIPSeq(GSE22095)/Homer	MYB	ENSG00000118513
"Pax8(Paired,Homeobox)/Thyroid-Pax8-ChIP-Seq(GSE26938)/Homer"	Pax8	ENSG00000125618
GRHL2(CP2)/HBE-GRHL2-ChIP-Seq(GSE46194)/Homer	GRHL2	ENSG00000083307
ZBTB33(Zf)/GM12878-ZBTB33-ChIP-Seq(GSE32465)/Homer	ZBTB33	ENSG00000177485
AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)/Homer	AP-2alpha	ENSG00000137203
Nkx2.1(Homeobox)/LungAC-Nkx2.1-ChIP-Seq(GSE43252)/Homer	Nkx2.1	ENSG00000136352
Tbr1(T-box)/Cortex-Tbr1-ChIP-Seq(GSE71384)/Homer	Tbr1	ENSG00000136535
"GRE(NR),IR3/RAW264.7-GRE-ChIP-Seq(Unpublished)/Homer"	GRE	NOT_GENE
"GATA(Zf),IR4/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer"	GATA3	ENSG00000107485
ZNF669(Zf)/HEK293-ZNF669.GFP-ChIP-Seq(GSE58341)/Homer	ZNF669	ENSG00000188295
Nur77(NR)/K562-NR4A1-ChIP-Seq(GSE31363)/Homer	NR4A1	ENSG00000123358
RUNX-AML(Runt)/CD4+-PolII-ChIP-Seq(Barski_et_al.)/Homer	RUNX-AML	NOT_GENE
NRF(NRF)/Promoter/Homer	NRF	NOT_GENE
CHR(?)/Hela-CellCycle-Expression/Homer	CHR	NOT_GENE
p53(p53)/Saos-p53-ChIP-Seq/Homer	p53(p53)	ENSG00000141510
p53(p53)/Saos-p53-ChIP-Seq(GSE15780)/Homer	p53(p53)	ENSG00000141510
ELF3(ETS)/PDAC-ELF3-ChIP-Seq(GSE64557)/Homer	ELF3	ENSG00000163435
"FOXA1:AR(Forkhead,NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer"	AR	ENSG00000169083
Max(bHLH)/K562-Max-ChIP-Seq(GSE31477)/Homer	Max	ENSG00000125952
IRF:BATF(IRF:bZIP)/pDC-Irf8-ChIP-Seq(GSE66899)/Homer	Irf8	ENSG00000140968
"E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer"	PU.1	ENSG00000066336
Zic(Zf)/Cerebellum-ZIC1.2-ChIP-Seq(GSE60731)/Homer	ZIC1	ENSG00000152977
E2F7(E2F)/Hela-E2F7-ChIP-Seq(GSE32673)/Homer	E2F7	ENSG00000165891
THRb(NR)/Liver-NR1A2-ChIP-Seq(GSE52613)/Homer	NR1A2	ENSG00000151090
ZNF165(Zf)/WHIM12-ZNF165-ChIP-Seq(GSE65937)/Homer	ZNF165	ENSG00000197279
PU.1:IRF8(ETS:IRF)/pDC-Irf8-ChIP-Seq(GSE66899)/Homer	PU.1:IRF8	ENSG00000140968
STAT5(Stat)/mCD4+-Stat5-ChIP-Seq(GSE12346)/Homer	STAT5	NOT_GENE
Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)/Homer	Barx1	ENSG00000131668
X-box(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	X-box	NOT_GENE
"RBPJ:Ebox(?,bHLH)/Panc1-Rbpj1-ChIP-Seq(GSE47459)/Homer"	Rbpj	ENSG00000168214
"PAX6(Paired,Homeobox)/Forebrain-Pax6-ChIP-Seq(GSE66961)/Homer"	PAX6	ENSG00000007372
Rbpj1(?)/Panc1-Rbpj1-ChIP-Seq(GSE47459)/Homer	Rbpj	ENSG00000168214
