SNP	AssociatedIndexSNP
rs10802922	rs679992
rs662023	rs679992
rs549041	rs679992
rs10802924	rs679992
rs553788	rs679992
rs665103	rs679992
rs1713546	rs679992
rs472519	rs679992
rs679992	rs679992
rs680449	rs679992
rs499226	rs679992
rs36073556	rs679992
rs502881	rs679992
rs598180	rs679992
rs1713547	rs679992
rs599453	rs679992
rs600901	rs679992
rs616935	rs679992
rs478452	rs679992
rs527754	rs679992
rs785544	rs679992
rs12463617	rs10190052
rs6731348	rs10190052
rs5828777	rs10190052
rs35142762	rs10190052
rs4854344	rs10190052
rs11127487	rs10190052
rs10166979	rs10190052
rs72156956	rs10190052
rs10169736	rs10190052
rs4854347	rs10190052
rs10865550	rs10190052
rs10865551	rs10190052
rs12714413	rs10190052
rs7601028	rs10190052
rs7591067	rs10190052
rs7560127	rs10190052
rs7594220	rs10190052
rs7604752	rs10190052
rs7560246	rs10190052
rs13025697	rs10190052
rs7561317	rs10190052
rs7567368	rs10190052
rs7558910	rs10190052
rs7559018	rs10190052
rs7567710	rs10190052
rs7559447	rs10190052
rs11127488	rs10190052
rs11127490	rs10190052
rs11127491	rs10190052
rs10172769	rs10190052
rs10190052	rs10190052
rs11405596	rs10190052
rs10173167	rs10190052
rs7571967	rs10190052
rs35362504	rs10190052
rs4452188	rs10190052
rs1320338	rs10190052
rs2903489	rs10190052
rs1320337	rs10190052
rs1320336	rs10190052
rs2867108	rs10190052
rs13386517	rs10190052
rs13401686	rs10190052
rs4613321	rs10190052
rs13386964	rs10190052
rs13405307	rs10190052
rs2867109	rs10190052
rs2867110	rs10190052
rs2903490	rs10190052
rs2867113	rs10190052
rs2867114	rs10190052
rs2867115	rs10190052
rs12714414	rs10190052
rs6719883	rs10190052
rs6756518	rs10190052
rs7574359	rs10190052
rs10192350	rs10190052
rs13415094	rs10190052
rs13396935	rs10190052
rs13412194	rs10190052
rs13397165	rs10190052
rs11677370	rs11677370
rs1371614	rs1371614
rs1260326	rs780093
rs780094	rs780093
rs780093	rs780093
rs11336847	rs780093
rs12994085	rs3736594
rs12993377	rs3736594
rs6753736	rs3736594
rs12714223	rs3736594
rs9967838	rs3736594
rs9677663	rs3736594
rs10201247	rs3736594
rs6547796	rs3736594
rs10209020	rs3736594
rs12477908	rs3736594
rs13013484	rs3736594
rs3736594	rs3736594
rs3792252	rs3736594
rs7593136	rs3736594
rs4666014	rs3736594
rs11127126	rs3736594
rs11891769	rs3736594
rs12465012	rs3736594
rs4665392	rs3736594
rs12986980	rs3736594
rs199922601	rs12613372
rs12613372	rs12613372
rs7567685	rs7578597
rs13417883	rs7578597
rs112801539	rs7578597
rs13409687	rs7578597
rs13396401	rs7578597
rs7561114	rs7578597
rs7590220	rs7578597
rs17030889	rs7578597
rs6731980	rs7578597
rs6717636	rs7578597
rs13416978	rs7578597
rs7570242	rs7578597
rs13408697	rs7578597
rs13395290	rs7578597
rs13395302	rs7578597
rs6746632	rs7578597
rs6747229	rs7578597
rs6732766	rs7578597
rs17030925	rs7578597
rs77389971	rs7578597
rs13422551	rs7578597
rs112282947	rs7578597
rs6544664	rs7578597
rs6544665	rs7578597
rs6737882	rs7578597
rs6544666	rs7578597
rs6544668	rs7578597
rs7578597	rs7578597
rs7564886	rs7578597
rs6757251	rs7578597
rs13405076	rs7578597
rs6544669	rs7578597
rs1388387	rs7578597
rs10180005	rs7578597
rs13405776	rs7578597
rs7597135	rs7578597
rs7585060	rs7578597
rs10169346	rs7578597
rs6726917	rs7578597
rs895636	rs895636
rs10432665	rs34669198
rs35616470	rs34669198
rs34124595	rs34669198
rs13026123	rs34669198
rs12996089	rs34669198
rs71394835	rs34669198
rs35268716	rs34669198
rs34616217	rs34669198
rs13021058	rs34669198
rs3821058	rs34669198
rs11277214	rs34669198
rs17394303	rs34669198
rs34669198	rs34669198
rs3770284	rs34669198
rs3770289	rs34669198
rs17394793	rs34669198
rs12994349	rs34669198
rs13019517	rs34669198
rs12623099	rs34669198
rs11892385	rs9309245
rs9309242	rs9309245
rs9309243	rs9309245
rs9309245	rs9309245
rs4671327	rs9309245
rs10194328	rs9309245
rs1345997	rs9309245
rs1116357	rs1116357
rs12998685	rs1116357
rs2865300	rs1116357
rs2865301	rs1116357
rs243024	rs243021
rs243021	rs243021
rs243020	rs243021
rs243018	rs243021
rs4270330	rs2421332
rs13009632	rs2421332
rs7597825	rs2421332
rs12990616	rs2421332
rs11891743	rs2421332
rs6545893	rs2421332
rs2421332	rs2421332
rs66598018	rs2421332
rs1978821	rs6712932
rs6712932	rs6712932
rs10496390	rs6712932
rs10210149	rs6712932
rs10170234	rs6712932
rs2053241	rs6712932
rs28521663	rs6712932
rs998451	rs6723108
rs10928513	rs6723108
rs6723108	rs6723108
rs1942055	rs6723108
rs6738563	rs6723108
rs1979033	rs6723108
rs7560163	rs7560163
rs2925762	rs7593730
rs2966379	rs7593730
rs4278892	rs7593730
rs7579168	rs7593730
rs72203713	rs7593730
rs4558544	rs7593730
rs12692592	rs7593730
rs4077463	rs7593730
rs10929978	rs7593730
rs6718070	rs7593730
rs7593730	rs7593730
rs4335904	rs7593730
rs4589705	rs7593730
rs12622664	rs7593730
rs12465609	rs7593730
rs6706545	rs7593730
rs4410242	rs7593730
rs10209870	rs7593730
rs12476804	rs7593730
rs1110209	rs7593730
rs4452095	rs7593730
rs10168504	rs7593730
rs4374328	rs7593730
rs6432614	rs7593730
rs6724146	rs7593730
rs6730051	rs7593730
rs6727751	rs7593730
rs11693602	rs7593730
rs10172449	rs7593730
rs3923113	rs3923113
rs5835988	rs3923113
rs12692735	rs3923113
rs10930133	rs3923113
rs6754919	rs3923113
rs6713419	rs3923113
rs10184004	rs3923113
rs34271465	rs3923113
rs10195252	rs3923113
rs36105243	rs3923113
rs7592412	rs3923113
rs1128249	rs3923113
rs13389219	rs3923113
rs10187501	rs3923113
rs6717858	rs3923113
rs6753142	rs3923113
rs6738627	rs3923113
rs10601676	rs3923113
rs10630427	rs3923113
rs7607980	rs3923113
rs10649609	rs3923113
rs6752978	rs3923113
rs12692737	rs3923113
rs9653282	rs3923113
rs150828478	rs3923113
rs7609045	rs3923113
rs34704590	rs3923113
rs2198550	rs3923113
rs6712203	rs3923113
rs13396952	rs13424957
rs2390125	rs13424957
rs13424957	rs13424957
rs13401102	rs13424957
rs59206855	rs13424957
rs146747381	rs13424957
rs13392799	rs13424957
rs16849939	rs13424957
rs13416706	rs13424957
rs10209355	rs13424957
rs13387347	rs13387347
rs560887	rs13387347
rs733331	rs733331
rs6707387	rs6707387
rs7578326	rs7578326
rs2943656	rs7578326
rs10197480	rs1861612
rs10933307	rs1861612
rs4973215	rs1861612
rs4972908	rs1861612
rs4972909	rs1861612
rs4972910	rs1861612
rs11306405	rs1861612
rs13012870	rs1861612
rs1861612	rs1861612
rs9841287	rs9841287
rs308971	rs308971
rs17036160	rs1801282
rs11709077	rs1801282
rs11712037	rs1801282
rs35000407	rs1801282
rs150732434	rs1801282
rs13083375	rs1801282
rs13064760	rs1801282
rs2012444	rs1801282
rs4684847	rs1801282
rs1801282	rs1801282
rs71304101	rs1801282
rs2688419	rs2688419
rs10510536	rs1845900
rs4327332	rs1845900
rs7612463	rs1845900
rs7627380	rs1845900
rs7612812	rs1845900
rs73823472	rs1845900
rs56979234	rs1845900
rs2173058	rs1845900
rs143567607	rs1845900
rs10428163	rs1845900
rs11348019	rs1845900
rs1845901	rs1845900
rs1845899	rs1845900
rs7613185	rs1845900
rs7627525	rs1845900
rs7639266	rs1845900
rs6764347	rs1845900
rs6808488	rs1845900
rs10510634	rs10510634
rs76647135	rs831571
rs35837	rs831571
rs35839	rs831571
rs6445389	rs831571
rs831571	rs831571
rs166230	rs831571
rs254858	rs831571
rs6797912	rs831571
rs4615073	rs4607103
rs67311847	rs4607103
rs6770866	rs4607103
rs4607103	rs4607103
rs6445424	rs4607103
rs2194091	rs4607103
rs147257399	rs4607103
rs1016553	rs1016553
rs1016552	rs1016553
rs12496230	rs12496230
rs13100186	rs12496230
rs17782285	rs12496230
rs36016775	rs12496230
rs13079612	rs12496230
rs4856960	rs12496230
rs13096599	rs12496230
rs2063640	rs2063640
rs13086910	rs4441659
rs56233759	rs4441659
rs11712391	rs4441659
rs4855687	rs4441659
rs4413319	rs4441659
rs6437815	rs4441659
rs6437820	rs4441659
rs6764851	rs4441659
rs6789630	rs4441659
rs4074419	rs4441659
rs7626864	rs4441659
rs6437827	rs4441659
rs4441659	rs4441659
rs4855696	rs4441659
rs1356072	rs4441659
rs9288887	rs4441659
rs1399715	rs4441659
rs77093417	rs73230612
rs10222496	rs73230612
rs16823443	rs73230612
rs7643617	rs73230612
rs1473580	rs73230612
rs9815319	rs73230612
rs9851136	rs73230612
rs9830947	rs73230612
rs2177039	rs73230612
rs16823508	rs73230612
rs12639377	rs73230612
rs13323268	rs73230612
rs12632241	rs73230612
rs73230612	rs73230612
rs66839906	rs73230612
rs11302897	rs73230612
rs73230617	rs73230612
rs9879646	rs73230612
rs201069618	rs73230612
rs114072304	rs73230612
rs76127710	rs73230612
rs7620646	rs73230612
rs73230620	rs73230612
rs56260350	rs73230612
rs9832181	rs73230612
rs113773514	rs73230612
rs980944	rs73230612
rs7653569	rs73230612
rs60015778	rs73230612
rs75352178	rs73230612
rs16823578	rs73230612
rs9822860	rs73230612
rs59774725	rs73230612
rs13317965	rs73230612
rs9790250	rs73230612
rs11712587	rs73230612
rs78572299	rs73230612
rs9867281	rs73230612
rs11718803	rs73230612
rs13318807	rs73230612
rs6768463	rs73230612
rs13326167	rs73230612
rs11706205	rs73230612
rs61699626	rs73230612
rs143584529	rs73230612
rs143275927	rs73230612
rs6774015	rs73230612
rs6774625	rs73230612
rs77531150	rs73230612
rs72964564	rs11717195
rs11708067	rs11717195
rs11719201	rs11717195
rs11720108	rs11717195
rs7614016	rs11717195
rs7613951	rs11717195
rs11717195	rs11717195
rs34970607	rs11717195
rs6794202	rs11717195
rs6798189	rs11717195
rs56371916	rs11717195
rs35543900	rs11717195
rs79223353	rs79223353
rs74557936	rs79223353
rs6767514	rs79223353
rs76133871	rs79223353
rs2332541	rs79223353
rs76846759	rs79223353
rs1456115	rs79223353
rs60054445	rs79223353
rs201010648	rs79223353
rs9862730	rs9862730
rs10598043	rs3773506
rs75064662	rs3773506
rs3773506	rs3773506
rs114608156	rs3773506
rs113664187	rs3773506
rs113757441	rs3773506
rs111326206	rs3773506
rs75938837	rs3773506
rs140520659	rs3773506
rs140981286	rs3773506
rs75256775	rs3773506
rs57139089	rs3773506
rs6784134	rs3773506
rs76560578	rs3773506
rs12486792	rs11920090
rs6801638	rs11920090
rs6776099	rs11920090
rs16855578	rs11920090
rs12495622	rs11920090
rs6780208	rs11920090
rs11921330	rs11920090
rs11925442	rs11920090
rs6766904	rs11920090
rs12496506	rs11920090
rs12496734	rs11920090
rs16855595	rs11920090
rs11720640	rs11920090
rs11709140	rs11920090
rs1905506	rs11920090
rs1905504	rs11920090
rs7635100	rs11920090
rs55980684	rs11920090
rs16847990	rs11920090
rs56791644	rs11920090
rs11721319	rs11920090
rs1499820	rs11920090
rs56819515	rs11920090
rs1280	rs11920090
rs16855617	rs11920090
rs55679742	rs11920090
rs55989805	rs11920090
rs11923694	rs11920090
rs11920090	rs11920090
rs11924648	rs11920090
rs12487486	rs11920090
rs12487589	rs11920090
rs61169219	rs11920090
rs1996220	rs11920090
rs5406	rs11920090
rs2292622	rs11920090
rs10513685	rs11920090
rs10513686	rs11920090
rs10513687	rs11920090
rs11928798	rs11920090
rs10513689	rs11920090
rs3138708	rs11920090
rs5402	rs11920090
rs61791106	rs11920090
rs61791107	rs11920090
rs5400	rs11920090
rs7643425	rs11920090
rs35297160	rs11920090
rs11720145	rs11920090
rs55641619	rs11920090
rs7638998	rs11920090
rs9290685	rs7630877
rs9831383	rs7630877
rs9836757	rs7630877
rs56395499	rs7630877
rs17748864	rs7630877
rs4146789	rs7630877
rs16830940	rs7630877
rs73060761	rs7630877
rs10428126	rs1470579
rs13092876	rs1470579
rs5855072	rs1470579
rs4481184	rs1470579
rs9841201	rs1470579
rs4389513	rs1470579
rs4414887	rs1470579
rs11705729	rs1470579
rs6765808	rs1470579
rs56068496	rs1470579
rs11927381	rs1470579
rs7633675	rs1470579
rs9808924	rs1470579
rs6444081	rs1470579
rs73061095	rs1470579
rs9854769	rs1470579
rs7615045	rs1470579
rs7646519	rs1470579
rs4686392	rs1470579
rs7630554	rs1470579
rs35188816	rs1470579
rs73063004	rs1470579
rs1470580	rs1470579
rs6769511	rs1470579
rs1374910	rs1374910
rs9859406	rs1470579
rs6444082	rs1470579
rs764129	rs1470579
rs16861317	rs16861329
rs3852060	rs16861329
rs78117380	rs16861329
rs16861329	rs16861329
rs59322089	rs16861329
rs3954169	rs16861329
rs9798820	rs16861329
rs6808574	rs6808574
rs4686471	rs6808574
rs6777684	rs6808574
rs34221144	rs2290402
rs2290402	rs2290402
rs149637555	rs2290402
rs3822019	rs2290402
rs56039006	rs2290402
rs41286661	rs2290402
rs11933653	rs6815464
rs77903760	rs6815464
rs72501964	rs6815464
rs4974579	rs6815464
rs35317148	rs6815464
rs11247980	rs6815464
rs34026785	rs6815464
rs17164589	rs6815464
rs140392870	rs6815464
rs72501965	rs6815464
rs78054639	rs6815464
rs78122234	rs6815464
rs2293632	rs6815464
rs11723920	rs6815464
rs143419094	rs6815464
rs12503555	rs6815464
rs11936387	rs6815464
rs6599297	rs6815464
rs6852991	rs6815464
rs79358245	rs6815464
rs148865237	rs6815464
rs75548562	rs6815464
rs4974547	rs6815464
rs4974592	rs6815464
rs4974593	rs6815464
rs7696746	rs6815464
rs74478546	rs6815464
rs4974595	rs6815464
rs17164620	rs6815464
rs7672093	rs6815464
rs11247988	rs6815464
rs11247991	rs6815464
rs2272481	rs6815464
rs6815464	rs6815464
rs4974550	rs6815464
rs80097454	rs6815464
rs4974557	rs6815464
rs28420833	rs4458523
rs4689391	rs4458523
rs3889821	rs4458523
rs4688986	rs4458523
rs9993624	rs4458523
rs4458523	rs4458523
rs11732178	rs4458523
rs9998519	rs4458523
rs11725494	rs4458523
rs10937717	rs4458523
rs6446480	rs4458523
rs13130845	rs4458523
rs4481292	rs4458523
rs4501291	rs4458523
rs881796	rs4458523
rs4689398	rs4458523
rs71654854	rs2055942
4:46880500:T	rs2055942
rs10028342	rs2055942
rs7681635	rs2055942
rs13126445	rs2055942
rs7683996	rs2055942
rs7683813	rs2055942
rs1849280	rs2055942
rs10517169	rs2055942
rs1512126	rs2055942
rs10025240	rs2055942
rs10938463	rs2055942
rs6817197	rs2055942
rs6844232	rs2055942
rs6819256	rs2055942
rs6819625	rs2055942
rs6818390	rs2055942
rs6818817	rs2055942
rs9291292	rs2055942
rs9291293	rs2055942
rs10020566	rs2055942
rs17641065	rs2055942
rs17598809	rs2055942
rs58209441	rs2055942
rs13115057	rs2055942
rs17598832	rs2055942
rs9291294	rs2055942
rs9291295	rs2055942
rs1398169	rs2055942
rs1398170	rs2055942
rs10027692	rs2055942
rs13110516	rs2055942
rs13114476	rs2055942
rs28599799	rs2055942
rs10017264	rs2055942
rs13112436	rs2055942
rs11732290	rs2055942
rs13143524	rs2055942
rs17598928	rs2055942
rs80183181	rs2055942
rs17641171	rs2055942
rs67592528	rs2055942
rs9992220	rs2055942
rs6815470	rs2055942
rs6847233	rs2055942
rs6842375	rs2055942
rs35383141	rs2055942
rs9685790	rs2055942
rs13142109	rs2055942
rs35575055	rs2055942
rs10032182	rs2055942
rs6815290	rs2055942
rs7678338	rs2055942
rs10033500	rs2055942
rs9291296	rs2055942
rs9291297	rs2055942
rs1512140	rs2055942
rs953380	rs2055942
rs17599074	rs2055942
rs1512138	rs2055942
rs1512136	rs2055942
rs67128139	rs2055942
rs13138566	rs2055942
rs17641386	rs2055942
rs35989353	rs2055942
rs12649623	rs2055942
rs10021918	rs2055942
rs2351170	rs2055942
rs1160091	rs2055942
rs13140528	rs2055942
rs10004131	rs2055942
rs2055943	rs2055942
rs964503	rs6533014
rs6533014	rs6533014
rs4698790	rs4698790
rs28618203	rs7659604
rs28529384	rs7659604
rs28640980	rs7659604
rs28532673	rs7659604
rs34952897	rs7659604
rs35986491	rs7659604
rs73844280	rs7659604
rs73844281	rs7659604
rs10016433	rs7659604
rs10005932	rs7659604
rs6846232	rs7659604
rs6816071	rs7659604
rs7659604	rs7659604
rs7659943	rs7659604
rs7689714	rs7659604
rs72678650	rs7659604
rs60614118	rs7659604
rs59871988	rs7659604
rs60340409	rs7659604
rs10008348	rs7659604
rs33911741	rs7659604
rs10014554	rs6813195
rs10020796	rs6813195
rs6813195	rs6813195
rs4691380	rs4691380
rs3792615	rs3792615
4:164532998:A	rs3792615
rs1553900	rs3792615
rs6813882	rs3792615
rs10520514	rs10520514
rs17250963	rs17250963
rs702634	rs702634
rs4865796	rs702634
rs28499105	rs702634
rs11443126	rs702634
rs1664781	rs702634
rs459193	rs459193
rs464605	rs459193
rs392794	rs459193
rs465002	rs459193
rs256903	rs459193
rs173964	rs459193
rs256904	rs459193
rs30360	rs30360
rs7730045	rs10461617
rs9283717	rs10461617
rs13166115	rs10461617
rs10051747	rs10461617
rs7728745	rs10461617
rs2113078	rs10461617
rs6866779	rs10461617
rs6450408	rs10461617
rs4389648	rs10461617
rs10461617	rs10461617
rs79742142	rs10461617
rs555806915	rs10461617
rs6888404	rs10461617
rs7733041	rs10461617
rs986049	rs10461617
rs6885541	rs10461617
rs13356762	rs10461617
rs832553	rs10461617
rs832554	rs10461617
rs11289212	rs10461617
rs252902	rs10461617
rs190414	rs10461617
rs252904	rs10461617
rs2432195	rs10461617
rs2591952	rs10461617
rs252915	rs10461617
rs252916	rs10461617
rs252919	rs10461617
rs832560	rs10461617
rs10552271	rs10461617
rs863840	rs10461617
5:56129966:GTAA	rs10461617
rs2548665	rs10461617
rs2591949	rs10461617
rs2548664	rs10461617
rs2067214	rs10461617
rs34627871	rs10461617
rs252922	rs10461617
rs3099459	rs10461617
rs252921	rs10461617
rs43184	rs10461617
rs33325	rs10461617
rs33326	rs10461617
rs33327	rs10461617
rs42769	rs10461617
rs860580	rs10461617
rs832565	rs10461617
rs832568	rs10461617
rs832569	rs10461617
rs832571	rs10461617
rs832572	rs10461617
rs2113079	rs10461617
5:56158615:C	rs10461617
5:56158615:T	rs10461617
rs832578	rs10461617
rs11342842	rs10461617
rs252887	rs10461617
rs33322	rs10461617
rs832582	rs10461617
rs832584	rs10461617
rs148892397	rs10461617
rs832550	rs10461617
rs832549	rs10461617
rs832548	rs10461617
rs832547	rs10461617
rs866222	rs10461617
rs252900	rs10461617
rs252899	rs10461617
rs252898	rs10461617
rs194058	rs10461617
rs252910	rs10461617
rs35239044	rs10461617
rs16891077	rs16891077
rs4457053	rs4457053
rs7708285	rs4457053
rs6878122	rs4457053
rs7732130	rs4457053
rs10078426	rs4703911
rs242061	rs4703911
rs355289	rs4703911
rs4703911	rs4703911
rs13179048	rs13179048
rs36101807	rs13179048
rs144489757	rs6235
rs17085665	rs6235
rs6235	rs6235
rs6234	rs6235
rs13169290	rs6235
rs13168460	rs6235
rs2548966	rs319598
rs2546712	rs319598
rs319602	rs319598
rs319601	rs319598
rs319598	rs319598
rs319593	rs319598
rs319589	rs319598
rs17165402	rs319598
rs7728823	rs319598
rs2033455	rs17053082
rs17053082	rs17053082
rs9391988	rs9391988
rs2842375	rs2714337
rs2714337	rs2714337
rs9502570	rs9502570
rs34499031	rs35612982
rs35612982	rs35612982
rs9356744	rs35612982
rs4710941	rs35612982
rs66460913	rs35612982
rs2328548	rs35612982
rs6935599	rs35612982
rs9465871	rs35612982
rs10946403	rs35612982
rs9358357	rs35612982
rs9368224	rs35612982
rs9460550	rs35612982
rs2073721	rs3132524
rs2073723	rs3132524
rs3132528	rs3132524
6:31134721:ACTC	rs3132524
rs3130931	rs3132524
rs3130929	rs3132524
rs9263804	rs3132524
rs3130928	rs3132524
rs3130501	rs3132524
rs3132524	rs3132524
rs3132523	rs3132524
rs3132522	rs3132524
rs3094192	rs3132524
rs3130504	rs3132524
rs9266638	rs2244020
rs2244020	rs2244020
rs3916765	rs3916765
rs9276627	rs3916765
rs4646949	rs4646949
rs9470772	rs9470794
rs74441639	rs9470794
rs11757143	rs9470794
rs139554326	rs9470794
6:38071178:TAC	rs9470794
rs9470777	rs9470794
rs35055676	rs9470794
rs9470782	rs9470794
rs9470784	rs9470794
rs9470794	rs9470794
rs7760452	rs9470794
rs9470796	rs9470794
rs9462389	rs9470794
rs7748392	rs9470794
rs2395692	rs9470794
rs2395693	rs9470794
rs9462393	rs9470794
rs9470802	rs9470794
rs60986358	rs9470794
rs60049603	rs9470794
rs59684841	rs9470794
rs57405566	rs9470794
rs9462394	rs9470794
rs34187999	rs9470794
rs56247028	rs9470794
rs11755190	rs9470794
rs11753067	rs9470794
rs11759858	rs9470794
rs11753160	rs9470794
rs56114002	rs9470794
rs2281265	rs9470794
rs2073021	rs9470794
rs10642837	rs9470794
rs149438736	rs9470794
rs9462396	rs9470794
rs11752799	rs9470794
rs12663159	rs1535500
rs34247110	rs1535500
rs11756091	rs1535500
rs2146262	rs1535500
rs1535500	rs1535500
rs3734618	rs1535500
rs35099099	rs1535500
rs3807042	rs1535500
rs881858	rs9472138
rs9472138	rs9472138
rs6931147	rs9472138
rs9472139	rs9472138
rs10456526	rs9472138
rs12189774	rs9472138
rs68137036	rs9472138
rs78012385	rs79976124
rs79976124	rs79976124
rs17432710	rs79976124
rs74881738	rs79976124
rs138694577	rs79976124
rs1548154	rs79976124
rs56132315	rs79976124
rs77895756	rs79976124
rs17511467	rs79976124
rs12213669	rs79976124
rs7760550	rs79976124
rs77185357	rs79976124
rs2100800	rs79976124
rs12214948	rs79976124
rs12214239	rs79976124
rs10944856	rs79976124
rs10944857	rs79976124
rs6918860	rs79976124
rs34488909	rs79976124
rs12194767	rs79976124
rs74995761	rs79976124
rs79507557	rs79976124
rs79522358	rs79976124
rs140102807	rs79976124
rs11751145	rs79976124
rs11751994	rs79976124
rs17511913	rs79976124
rs12194087	rs79976124
rs10944858	rs79976124
rs74327235	rs79976124
rs75346757	rs79976124
rs143311721	rs79976124
rs143058967	rs79976124
rs10455591	rs79976124
rs78317899	rs79976124
rs12201218	rs79976124
rs74295030	rs79976124
rs5876995	rs79976124
rs12198447	rs79976124
rs142591951	rs79976124
rs10498840	rs79976124
rs1048886	rs1048886
rs6920515	rs1048886
rs9455168	rs1048886
rs2881632	rs1048886
rs9455177	rs1048886
rs9455182	rs1048886
rs11759026	rs4273712
rs58321169	rs4273712
rs4273712	rs4273712
rs853974	rs4273712
rs6937795	rs6937795
rs2327776	rs6937795
rs11154899	rs6937795
rs10872465	rs6937795
rs2876354	rs6937795
rs947735	rs6937795
rs947734	rs6937795
rs11154900	rs6937795
rs6906007	rs6937795
rs151094529	rs6937795
rs10457652	rs6937795
rs10457653	rs6937795
rs12153867	rs6937795
rs10872466	rs6937795
rs6923020	rs6937795
rs4407733	rs6937795
rs2876355	rs6937795
rs4272229	rs6937795
rs10457016	rs6937795
rs10457654	rs6937795
rs12663656	rs6937795
rs1891487	rs6937795
rs143746725	rs6937795
rs1539410	rs6937795
rs6917952	rs6937795
rs9376478	rs642858
rs2223966	rs642858
rs592755	rs642858
rs590587	rs642858
rs654917	rs642858
rs613274	rs642858
rs56364507	rs642858
rs603321	rs642858
rs201235947	rs642858
rs594560	rs642858
rs1102077	rs642858
rs1102076	rs642858
rs642858	rs642858
rs644467	rs642858
rs623331	rs642858
rs1361248	rs642858
rs6933684	rs642858
rs9403133	rs642858
rs4895579	rs642858
rs1416288	rs642858
rs9376484	rs642858
rs73624529	rs9478961
rs528779041	rs9478961
rs57622825	rs9478961
rs145939337	rs9478961
rs73609533	rs9478961
rs7762382	rs9478961
rs57158969	rs9478961
rs9478961	rs9478961
rs7778801	rs7795991
rs7795991	rs7795991
rs10238619	rs7795991
rs35282797	rs7795991
rs35636989	rs7795991
rs17168486	rs17168486
rs2215383	rs1974620
rs10228066	rs1974620
rs10228456	rs1974620
